,FIT_400_001B_P.PV,FIT_400_002B_P.PV,Q_400_001B_P.PV
0,804.56,700.52,805.53
1,806.82,700.21,805.09
2,807.43,699.96,805.32
3,803.54,699.75,805.56
4,807.01,700.45,805.71
5,806.47,699.26,805.48
6,805.17,700.06,805.49
7,805.03,700.21,805.44
8,806.34,700.24,805.54
9,805.74,700.66,805.83
10,806.09,699.83,805.43
11,804.67,700.81,805.37
12,805.46,700.71,805.35
13,806.2,700.78,805.4
14,807.53,700.32,805.15
15,806.5,699.77,805.57
16,805.35,699.58,805.41
17,806.92,699.68,805.34
18,805.94,699.64,805.2
19,806.21,699.96,805.39
20,807.66,700.32,805.2
21,803.84,699.74,805.51
22,805.65,700.01,805.58
23,807.74,699.93,805.36
24,805.56,699.45,805.47
25,806.04,699.83,805.23
26,801.54,699.3,805.39
27,806.15,700.12,805.58
28,805.19,700.2,805.01
29,802.86,699.42,805.3
30,809.19,700.27,805.52
31,803.94,699.88,805.33
32,806.66,700.45,805.41
33,810.05,700.27,805.38
34,804.97,699.69,805.35
35,799.83,698.85,804.44
36,803.6,700.43,805.41
37,800.94,699.67,805.26
38,804.46,699.96,805.37
39,808.0,700.05,805.27
40,787.85,685.14,787.99
41,804.99,698.42,805.12
42,803.1,700.12,805.52
43,807.69,700.46,805.1
44,803.24,699.88,805.49
45,805.71,699.73,805.6
46,807.86,700.18,805.25
47,807.75,699.62,805.17
48,798.32,699.58,805.65
49,806.68,700.25,805.4
50,811.55,700.45,805.2
51,799.76,698.78,805.41
52,807.55,700.48,805.41
53,806.66,700.86,805.07
54,804.74,699.55,805.48
55,804.29,700.51,805.4
56,803.14,699.96,805.72
57,807.75,700.11,805.46
58,808.87,700.62,805.31
59,805.89,699.68,805.32
60,800.61,699.01,805.45
61,807.36,700.03,805.27
62,806.49,699.72,805.31
63,806.68,700.04,805.37
64,804.79,699.11,805.12
65,803.31,700.25,805.46
66,806.1,700.02,805.21
67,808.15,700.05,805.41
68,803.41,700.11,804.91
69,803.15,700.14,805.17
70,804.13,700.09,805.73
71,808.32,699.96,805.47
72,806.97,699.31,805.39
73,802.59,699.52,805.38
74,801.99,699.64,805.06
75,805.88,700.74,805.65
76,806.89,700.28,805.2
77,803.88,699.59,805.53
78,807.62,700.24,805.4
79,800.34,699.47,805.08
80,810.22,700.47,805.49
81,806.63,699.32,805.5
82,806.27,700.02,805.25
83,803.8,699.91,805.57
84,804.03,699.93,805.43
85,804.92,699.88,805.44
86,803.78,700.11,805.45
87,805.56,700.17,805.04
88,807.9,700.17,804.7
89,807.01,699.23,805.3
90,807.44,700.27,805.32
91,804.82,700.12,805.37
92,801.86,699.45,805.22
93,808.73,700.82,805.59
94,807.48,699.3,805.47
95,802.76,699.68,805.38
96,802.77,699.82,805.52
97,805.27,700.4,805.58
98,810.68,699.73,805.25
99,799.45,699.36,805.47
100,812.22,700.31,805.54
101,800.86,699.18,805.25
102,806.66,700.66,805.19
103,807.97,700.12,805.26
104,369.24,699.96,805.37
105,805.02,699.96,808.69
106,802.25,498.62,812.15
107,804.4,699.23,805.04
108,805.84,700.11,805.54
109,807.47,699.57,805.38
110,807.67,700.09,805.37
111,801.99,699.79,805.07
112,804.44,700.23,805.17
113,808.08,700.24,805.37
114,805.97,700.27,805.48
115,808.56,700.57,805.29
116,803.13,699.83,805.39
117,799.41,699.95,805.62
118,808.32,700.43,805.32
119,805.07,699.74,805.33
120,803.42,699.23,805.42
121,804.43,699.51,805.96
122,807.8,699.88,805.44
123,807.71,699.49,805.44
124,807.53,700.21,805.66
125,803.69,699.75,805.53
126,801.9,699.96,805.72
127,805.46,700.35,805.58
128,807.34,700.18,805.41
129,802.06,699.89,805.32
130,807.86,700.24,805.35
131,807.87,700.05,805.22
132,804.59,700.62,805.05
133,803.5,700.0,805.62
134,806.57,700.21,805.72
135,805.2,699.98,805.24
136,804.78,699.84,805.48
137,803.99,699.96,805.75
138,811.7,700.54,805.69
139,802.07,699.73,805.63
140,802.34,700.57,805.44
141,805.45,700.28,805.29
142,806.67,699.85,805.51
143,805.24,699.62,805.45
144,803.52,699.12,805.5
145,809.25,700.42,805.1
146,808.91,700.85,805.24
147,804.71,699.45,805.62
148,801.35,699.64,805.22
149,803.22,700.21,805.45
150,808.94,701.12,805.44
151,806.54,700.0,805.57
152,806.73,699.6,805.46
153,804.62,700.4,805.41
154,803.99,699.9,805.33
155,803.74,699.51,805.4
156,809.78,700.34,805.49
157,806.96,699.5,805.23
158,802.31,699.61,805.14
159,720.45,699.96,677.34
160,804.61,699.96,805.37
161,804.61,699.96,805.37
162,804.61,699.96,805.37
163,804.61,699.96,805.37
164,804.61,699.96,805.37
165,804.61,699.96,805.37
166,804.61,699.96,805.37
167,804.61,699.96,805.37
168,804.61,699.96,805.37
169,416.26,699.96,805.37
170,803.46,699.96,806.06
171,804.1,699.96,820.04
172,804.81,698.62,805.49
173,806.25,699.71,805.58
174,808.13,699.92,805.5
175,805.09,699.29,805.89
176,804.63,699.6,805.35
177,801.29,699.43,805.42
178,811.69,700.6,805.57
179,800.89,698.9,805.29
180,804.47,700.75,805.43
181,809.83,699.76,805.59
182,803.23,699.52,805.0
183,800.93,699.95,805.48
184,808.55,700.86,805.33
185,807.16,699.39,805.47
186,805.44,700.35,805.44
187,804.98,699.77,805.7
188,805.03,700.15,805.43
189,804.16,700.09,805.74
190,805.61,699.97,805.64
191,805.82,699.8,805.33
192,805.29,699.78,805.49
193,804.17,700.13,805.43
194,801.8,699.9,805.93
195,811.46,700.5,805.68
196,804.27,699.11,805.3
197,800.91,700.18,804.94
198,806.75,700.48,805.19
199,806.47,699.91,805.4
200,806.13,700.26,805.6
201,807.35,699.55,805.63
202,803.58,699.67,805.27
203,802.64,700.5,805.35
204,807.51,700.55,805.66
205,804.72,699.85,805.42
206,805.22,700.16,805.36
207,810.41,699.64,805.4
208,798.37,699.17,805.54
209,809.41,700.26,805.35
210,808.18,700.04,805.55
211,805.98,699.82,805.07
212,801.8,699.64,805.25
213,805.05,700.25,805.52
214,810.3,700.43,805.11
215,804.6,700.16,805.45
216,806.63,700.38,805.29
217,805.26,700.2,805.0
218,804.58,700.95,805.2
219,805.09,700.82,805.2
220,803.45,700.19,804.98
221,804.71,699.99,805.45
222,808.65,700.35,804.83
223,808.62,699.59,805.54
224,804.92,699.24,805.58
225,805.61,699.7,805.38
226,800.81,699.49,805.26
227,804.89,700.21,805.48
228,808.42,700.38,805.69
229,805.16,699.33,805.64
230,806.29,699.25,805.45
231,804.66,699.83,805.23
232,804.2,700.27,805.18
233,803.36,699.72,805.16
234,808.61,700.8,805.08
235,805.19,699.55,805.57
236,805.36,700.03,805.06
237,803.42,699.68,805.43
238,805.02,700.38,805.26
239,803.99,699.79,805.9
240,808.27,700.44,805.27
241,805.24,699.8,805.34
242,805.72,699.93,805.15
243,805.74,699.96,805.32
244,805.35,700.4,805.26
245,805.49,700.28,805.6
246,802.8,700.15,805.43
247,805.57,700.23,805.29
248,805.95,700.04,805.05
249,806.5,699.95,805.06
250,803.04,699.06,805.78
251,803.44,699.82,805.28
252,806.89,699.99,805.46
253,806.01,700.21,805.64
254,805.78,699.65,805.47
255,805.14,699.76,805.24
256,805.44,699.94,805.78
257,803.35,699.72,805.56
258,808.79,700.85,805.32
259,806.52,700.64,804.91
260,801.77,700.23,805.36
261,808.71,701.18,805.75
262,805.12,699.38,805.39
263,802.56,699.58,805.53
264,807.07,700.35,805.61
265,809.81,698.98,805.44
266,798.79,699.15,805.29
267,804.23,700.0,805.7
268,804.96,699.74,805.27
269,808.02,699.68,805.69
270,807.75,699.86,805.63
271,805.8,699.92,805.41
272,803.8,699.8,805.36
273,803.36,700.1,805.3
274,806.2,700.31,805.51
275,805.0,699.97,805.45
276,805.79,700.05,805.43
277,805.33,700.38,804.92
278,803.36,699.33,805.85
279,815.03,700.1,805.65
280,798.85,698.89,805.13
281,804.64,700.14,805.64
282,812.46,700.25,805.9
283,800.93,699.32,805.35
284,804.96,700.32,805.42
285,810.12,700.28,805.51
286,807.57,699.7,805.36
287,806.16,700.42,805.51
288,804.66,700.14,805.1
289,804.3,699.75,805.63
290,805.21,700.0,805.08
291,803.27,699.52,805.39
292,802.26,699.88,805.49
293,805.4,700.35,805.35
294,806.24,700.23,805.05
295,805.24,700.24,805.66
296,805.52,700.84,805.57
297,806.18,700.15,805.13
298,803.8,699.69,805.42
299,803.91,700.09,805.32
300,807.72,700.26,805.68
301,805.92,699.76,805.37
302,804.04,700.37,805.28
303,803.45,700.69,805.52
304,810.89,700.52,805.76
305,805.23,699.44,805.1
306,800.1,699.88,805.81
307,809.21,700.28,805.36
308,808.25,699.75,805.21
309,805.31,700.24,805.35
310,803.67,700.36,805.34
311,803.28,699.78,805.49
312,803.29,699.89,805.61
313,807.55,701.73,804.42
314,808.56,701.15,805.49
315,805.54,700.21,805.06
316,802.28,699.31,805.29
317,801.48,700.16,805.36
318,807.84,700.08,805.35
319,807.54,699.7,805.74
320,808.07,699.89,805.61
321,804.05,699.69,805.22
322,803.92,699.79,805.29
323,801.83,699.83,805.34
324,806.25,700.07,805.39
325,808.38,699.53,805.11
326,806.36,699.46,805.65
327,804.3,699.44,805.63
328,806.12,700.49,805.24
329,806.62,699.4,805.62
330,804.75,700.09,805.21
331,804.61,699.92,805.38
332,802.81,699.85,805.25
333,804.48,700.51,805.55
334,810.17,699.87,805.4
335,804.32,699.49,805.17
336,803.77,700.11,805.2
337,802.2,700.12,805.19
338,806.3,700.74,805.71
339,809.03,700.3,805.35
340,803.34,699.91,805.18
341,806.36,700.05,805.25
342,806.03,699.93,805.24
343,802.47,700.45,805.65
344,807.91,700.44,805.38
345,805.0,699.19,805.36
346,803.3,700.57,805.53
347,805.31,700.36,805.59
348,809.66,700.01,805.28
349,807.43,700.03,805.51
350,802.93,699.91,805.17
351,805.73,699.78,805.19
352,807.6,700.11,805.25
353,803.57,699.54,805.2
354,801.96,699.75,805.48
355,812.85,700.31,805.44
356,799.34,699.15,805.62
357,806.11,700.86,805.44
358,808.73,699.86,805.02
359,807.31,700.28,805.42
360,805.76,700.55,805.45
361,805.13,700.49,805.28
362,804.77,700.69,805.36
363,804.75,700.37,805.33
364,803.75,700.02,805.29
365,801.57,699.39,805.04
366,804.07,700.25,805.59
367,806.82,700.7,805.38
368,805.88,700.03,805.0
369,806.24,699.68,805.11
370,805.62,699.62,805.29
371,802.78,699.96,805.44
372,812.86,700.62,805.57
373,802.65,699.3,805.17
374,802.23,699.72,805.59
375,809.28,700.14,805.47
376,808.08,699.66,805.2
377,804.87,700.16,805.22
378,799.52,699.44,805.52
379,803.95,699.71,805.81
380,811.37,699.47,805.11
381,801.11,699.51,805.51
382,803.6,699.95,805.54
383,807.4,700.38,805.47
384,806.26,699.59,805.39
385,801.9,699.51,805.19
386,810.52,700.45,805.67
387,802.61,699.75,804.97
388,801.86,700.03,805.6
389,804.66,700.0,805.64
390,812.57,700.07,805.12
391,805.8,700.17,805.61
392,804.27,699.78,805.03
393,806.31,700.41,805.33
394,804.94,699.48,805.54
395,804.17,699.64,805.47
396,804.37,700.42,805.32
397,803.84,699.69,805.71
398,803.32,700.37,805.61
399,813.69,700.66,805.77
400,805.53,699.6,805.37
401,804.07,699.78,805.83
402,801.75,700.36,805.15
403,803.8,699.32,805.57
404,807.01,701.59,805.33
405,808.76,701.82,804.91
406,808.17,701.58,805.43
407,802.6,699.86,805.15
408,804.07,700.72,805.78
409,808.76,699.31,805.38
410,799.59,699.31,805.1
411,810.54,700.83,805.96
412,806.8,699.34,805.47
413,797.85,699.22,805.48
414,808.81,700.37,805.54
415,807.02,699.69,805.35
416,806.56,699.44,805.64
417,803.72,699.61,805.45
418,806.72,699.9,805.47
419,805.95,699.84,805.22
420,803.36,699.44,804.89
421,802.37,699.36,805.3
422,808.94,700.36,805.09
423,807.2,699.37,804.74
424,800.34,700.22,805.6
425,808.85,700.41,805.46
426,807.08,699.94,805.31
427,800.57,699.47,805.17
428,801.16,700.65,805.35
429,813.25,701.05,805.44
430,807.14,699.88,805.33
431,806.17,699.76,805.03
432,798.29,699.11,805.36
433,812.56,701.58,805.86
434,805.89,700.02,805.31
435,798.98,699.83,805.31
436,812.29,701.39,805.24
437,799.54,699.16,805.45
438,805.46,700.21,805.68
439,805.9,700.51,805.38
440,810.12,700.74,805.07
441,809.48,700.09,804.9
442,806.64,700.71,805.33
443,804.11,700.57,805.32
444,804.5,700.26,805.55
445,802.5,700.07,804.95
446,803.59,700.72,805.0
447,806.27,699.96,805.45
448,808.38,699.89,805.27
449,806.23,699.77,805.27
450,807.3,699.6,805.26
451,806.96,699.62,805.34
452,804.15,699.28,805.29
453,804.08,700.66,805.3
454,804.49,700.36,805.61
455,804.78,699.74,805.34
456,808.41,699.88,805.61
457,807.97,699.45,805.22
458,805.0,699.48,804.93
459,805.45,699.99,805.43
460,807.73,700.87,805.45
461,803.52,699.32,805.25
462,799.56,699.32,805.39
463,810.04,700.46,805.42
464,806.64,700.28,805.08
465,803.66,700.19,805.28
466,802.3,700.04,805.67
467,809.16,699.8,805.26
468,809.07,699.62,805.64
469,804.64,698.79,805.5
470,801.7,699.7,805.69
471,805.21,700.26,805.94
472,718.69,634.95,722.46
473,713.23,618.06,709.55
474,790.68,674.92,790.43
475,801.91,698.6,805.32
476,800.96,699.75,805.46
477,804.59,699.88,805.49
478,806.48,700.61,805.38
479,812.82,700.39,805.01
480,805.57,698.94,805.36
481,803.31,700.14,805.46
482,805.8,700.45,805.34
483,805.87,699.95,805.16
484,805.84,700.05,805.34
485,804.97,700.47,805.34
486,805.29,699.89,805.41
487,804.43,700.44,805.84
488,808.44,699.5,805.26
489,807.66,700.51,805.2
490,801.72,700.36,805.56
491,807.3,699.86,805.09
492,807.26,700.21,805.74
493,805.09,700.08,805.24
494,784.6,687.37,782.25
495,706.55,618.69,709.0
496,711.55,615.81,710.44
497,801.99,688.48,804.76
498,806.69,700.03,805.28
499,803.16,700.4,804.91
500,802.73,701.25,805.22
501,809.1,700.86,804.96
502,797.59,699.62,805.71
503,808.08,700.54,805.45
504,804.36,700.22,805.09
505,803.41,700.11,805.1
506,807.72,700.9,805.44
507,808.49,700.05,805.14
508,806.64,700.07,805.33
509,803.03,699.54,805.16
510,800.6,700.19,805.65
511,806.29,700.4,805.47
512,809.04,700.57,805.58
513,803.28,699.8,805.36
514,805.97,700.2,805.37
515,807.3,700.07,805.28
516,806.31,700.25,805.14
517,805.39,699.38,805.21
518,804.5,699.18,805.78
519,802.06,699.41,805.52
520,808.07,699.87,805.47
521,806.93,699.57,805.19
522,805.77,699.46,805.39
523,805.47,700.15,805.37
524,803.11,699.96,805.53
525,805.33,699.97,805.15
526,803.53,700.19,805.37
527,803.87,700.5,805.32
528,804.52,700.2,805.92
529,804.74,700.82,804.96
530,805.3,701.09,805.09
531,811.49,700.77,805.44
532,806.65,699.98,805.0
533,804.15,700.22,805.4
534,801.26,699.99,805.28
535,802.58,700.18,804.98
536,805.81,700.48,804.93
537,807.5,700.43,805.39
538,805.59,700.39,805.4
539,807.23,699.79,805.19
540,804.84,699.88,805.32
541,806.66,700.65,805.11
542,806.02,700.02,805.2
543,805.58,699.74,805.4
544,804.83,700.03,805.06
545,804.61,700.51,805.44
546,804.54,700.25,805.26
547,804.74,700.58,805.8
548,806.73,699.92,805.39
549,807.75,700.21,805.32
550,803.66,699.77,804.92
551,804.23,699.89,805.16
552,802.17,699.81,805.6
553,803.12,700.19,805.3
554,802.29,699.43,805.12
555,803.1,699.8,805.84
556,801.22,700.32,805.38
557,801.66,699.45,805.35
558,799.12,700.11,805.45
559,801.98,699.97,805.71
560,802.04,700.34,805.41
561,801.91,700.22,805.29
562,803.95,699.96,805.69
563,803.86,700.1,805.24
564,801.74,699.82,805.38
565,800.64,699.56,805.38
566,801.25,699.93,805.21
567,801.28,700.39,805.21
568,800.74,700.02,805.14
569,796.49,699.81,805.13
570,797.85,699.76,804.87
571,800.53,700.61,805.34
572,801.16,700.55,805.18
573,797.58,699.5,804.83
574,761.16,664.17,757.41
575,756.92,659.46,757.84
576,778.02,675.97,785.15
577,803.02,699.84,805.3
578,801.23,700.22,805.4
579,803.33,699.98,805.5
580,804.67,700.44,805.38
581,804.61,699.45,805.26
582,804.47,698.58,805.47
583,800.57,699.83,805.42
584,799.65,699.41,805.63
585,803.99,700.04,805.49
586,802.82,699.76,805.22
587,803.02,700.55,805.39
588,799.35,699.78,805.29
589,797.74,699.88,805.04
590,802.71,700.1,805.45
591,803.8,699.81,805.36
592,801.44,699.61,805.14
593,796.42,699.41,805.35
594,800.74,700.5,804.94
595,803.08,699.99,805.34
596,802.19,699.87,805.07
597,802.33,699.54,805.51
598,802.79,700.63,805.3
599,804.45,699.82,805.68
600,802.31,699.66,805.44
601,801.28,699.58,805.36
602,799.98,700.39,805.41
603,801.87,700.17,805.67
604,805.51,700.71,805.19
605,804.03,700.4,805.5
606,805.1,699.68,805.5
607,803.86,699.74,805.36
608,802.77,700.67,805.27
609,801.09,700.17,805.34
610,802.05,700.33,805.43
611,800.74,700.11,805.32
612,797.94,699.83,805.46
613,801.16,700.41,805.81
614,801.82,700.47,805.08
615,802.04,699.81,805.63
616,800.94,699.83,805.55
617,800.02,699.14,805.27
618,800.77,699.78,805.6
619,800.12,700.54,805.41
620,799.58,699.92,805.41
621,800.96,699.35,805.43
622,799.86,700.04,805.47
623,800.11,700.06,805.28
624,801.09,700.16,805.6
625,798.4,699.55,805.39
626,798.85,700.7,805.18
627,798.06,699.78,805.06
628,797.51,699.57,805.67
629,796.31,700.21,805.4
630,797.66,699.93,805.29
631,797.51,700.36,805.49
632,797.05,700.55,805.6
633,797.68,700.17,805.05
634,797.1,699.95,805.49
635,796.39,700.03,805.35
636,796.98,699.89,805.0
637,795.2,699.85,805.18
638,795.51,699.81,805.09
639,796.65,699.95,805.03
640,793.48,699.72,805.33
641,793.97,699.0,805.58
642,795.8,699.32,805.59
643,794.62,701.02,805.34
644,793.92,700.4,805.3
645,794.55,700.67,805.23
646,792.92,700.24,805.38
647,792.9,700.39,805.39
648,791.28,699.52,805.11
649,794.25,700.38,805.75
650,793.4,700.06,805.42
651,791.4,699.6,805.47
652,788.92,699.61,805.64
653,791.84,700.07,805.56
654,788.32,699.25,805.39
655,789.4,699.79,805.29
656,794.76,700.3,805.3
657,792.48,700.26,805.39
658,791.06,699.97,805.21
659,788.3,699.29,805.99
660,791.28,700.18,805.04
661,792.92,700.48,805.06
662,790.92,699.76,805.38
663,788.9,699.69,805.56
664,791.1,700.75,805.49
665,792.72,699.56,805.54
666,793.15,700.13,805.48
667,789.62,699.99,805.49
668,789.4,700.27,804.99
669,793.35,700.49,805.38
670,793.69,699.91,805.57
671,792.83,699.91,804.71
672,789.62,700.32,805.57
673,790.45,699.76,805.18
674,792.67,700.34,805.68
675,795.38,700.41,805.44
676,795.62,699.29,805.6
677,796.37,699.7,805.42
678,797.63,699.87,805.4
679,796.73,699.99,805.36
680,794.32,700.6,805.44
681,793.74,699.93,805.17
682,792.28,699.56,805.5
683,795.7,700.07,805.58
684,794.91,699.92,805.44
685,796.7,700.5,805.14
686,794.8,700.32,805.33
687,797.35,700.58,805.27
688,796.09,700.6,805.28
689,795.54,699.96,805.47
690,796.56,700.44,805.24
691,796.21,699.94,805.44
692,794.86,700.17,805.24
693,793.42,700.11,805.12
694,794.51,700.32,805.1
695,792.85,699.7,805.18
696,792.43,699.58,805.05
697,792.83,699.75,805.51
698,791.44,699.66,804.98
699,790.73,699.48,805.52
700,791.34,699.62,805.3
701,788.76,699.81,805.4
702,788.31,699.91,805.54
703,789.63,700.02,804.83
704,787.76,699.78,805.66
705,788.36,700.14,805.13
706,786.85,699.68,805.56
707,787.62,699.98,805.25
708,785.66,700.14,805.42
709,785.46,700.06,805.26
710,785.02,699.73,805.52
711,785.26,700.06,804.82
712,781.78,699.67,805.48
713,782.36,700.07,805.48
714,782.74,699.9,805.7
715,787.27,700.18,805.47
716,787.86,699.42,805.39
717,786.91,700.27,805.25
718,787.1,700.1,805.28
719,789.0,700.08,805.29
720,786.31,700.09,805.62
721,785.27,699.71,805.41
722,713.24,632.96,718.51
723,717.62,619.43,715.23
724,783.15,692.16,806.87
725,787.46,700.21,805.32
726,789.04,700.01,805.22
727,784.89,699.87,805.25
728,783.89,699.99,805.36
729,787.4,700.71,805.26
730,785.85,700.1,805.48
731,786.0,700.08,805.28
732,788.03,699.81,805.41
733,790.9,700.0,805.43
734,789.93,699.66,805.01
735,790.67,699.64,805.41
736,790.15,700.69,805.55
737,792.11,699.59,805.23
738,789.03,699.83,805.44
739,789.21,699.93,805.14
740,786.69,699.94,805.19
